feature,importance_mean,importance_std,bucket
YLD_BE,2.0062253626781086,0.045947740714650756,Other
GPC_6,3.349763011272211e-05,1.527150608589915e-05,Genetic_PCA
GPC_27,2.9817950355626178e-05,8.937845209018376e-06,Genetic_PCA
GXE__GPC_8__x__X08_PRCP,1.9160562435871496e-05,5.01545644895705e-06,GxE_interaction
GPC_11,1.8052927365175275e-05,2.61416270103391e-06,Genetic_PCA
past_yld_mean,1.713178424997963e-05,2.2353480480799517e-06,Past_pheno
GXE__GPC_9__x__X08_PRCP,1.440488340940238e-05,2.4248806336224813e-06,GxE_interaction
GPC_22,1.150491047476887e-05,3.7739082672112996e-06,Genetic_PCA
GXE__GPC_3__x__X08_PRCP,9.81697503188439e-06,3.576671559221446e-06,GxE_interaction
GPC_30,9.158675197040722e-06,3.710155961368336e-06,Genetic_PCA
GPC_16,7.662499057836669e-06,2.45506227535849e-06,Genetic_PCA
past_yld_median,6.862330263490701e-06,6.644772535249302e-07,Past_pheno
GPC_12,6.347184757338198e-06,1.664615269815841e-06,Genetic_PCA
GPC_8,5.3095887659671e-06,9.15024196153233e-07,Genetic_PCA
GPC_7,4.9759571698615446e-06,6.815362297163383e-07,Genetic_PCA
GPC_23,4.287140658643107e-06,2.143703952400262e-06,Genetic_PCA
GPC_4,4.265081744270205e-06,1.0037476990395034e-06,Genetic_PCA
GXE__GPC_1__x__X08_PRCP,4.240627919416262e-06,3.026676943627366e-07,GxE_interaction
GPC_15,3.847992781624843e-06,2.336939408116473e-07,Genetic_PCA
GXE__GPC_2__x__X08_PRCP,3.7401499530687056e-06,6.553984829429222e-07,GxE_interaction
