feature,importance_mean,importance_std
YLD_BE,2.0062253626781086,0.045947740714650756
GPC_6,3.349763011272211e-05,1.527150608589915e-05
GPC_27,2.9817950355626178e-05,8.937845209018376e-06
GXE__GPC_8__x__X08_PRCP,1.9160562435871496e-05,5.01545644895705e-06
GPC_11,1.8052927365175275e-05,2.61416270103391e-06
past_yld_mean,1.713178424997963e-05,2.2353480480799517e-06
GXE__GPC_9__x__X08_PRCP,1.440488340940238e-05,2.4248806336224813e-06
GPC_22,1.150491047476887e-05,3.7739082672112996e-06
GXE__GPC_3__x__X08_PRCP,9.81697503188439e-06,3.576671559221446e-06
GPC_30,9.158675197040722e-06,3.710155961368336e-06
GPC_16,7.662499057836669e-06,2.45506227535849e-06
past_yld_median,6.862330263490701e-06,6.644772535249302e-07
GPC_12,6.347184757338198e-06,1.664615269815841e-06
GPC_8,5.3095887659671e-06,9.15024196153233e-07
GPC_7,4.9759571698615446e-06,6.815362297163383e-07
GPC_23,4.287140658643107e-06,2.143703952400262e-06
GPC_4,4.265081744270205e-06,1.0037476990395034e-06
GXE__GPC_1__x__X08_PRCP,4.240627919416262e-06,3.026676943627366e-07
GPC_15,3.847992781624843e-06,2.336939408116473e-07
GXE__GPC_2__x__X08_PRCP,3.7401499530687056e-06,6.553984829429222e-07
GPC_13,3.6230635746647975e-06,1.0719878564895258e-06
GXE__GPC_10__x__X08_PRCP,3.4318139206290787e-06,9.068973676196159e-07
GPC_28,2.5493678152632705e-06,7.447102980521405e-07
GPC_3,2.1880685808439716e-06,2.4836805973163206e-07
GPC_19,2.0429453650550043e-06,8.755247893587777e-07
GPC_20,1.9687273257629203e-06,6.397606370501508e-07
GPC_5,1.7296375691255861e-06,1.2983159461266085e-06
GPC_18,1.4793259799805724e-06,1.08916567952911e-06
GXE__GPC_6__x__X08_PRCP,1.4432486926785338e-06,7.513011045620751e-07
GPC_21,1.2595152848571268e-06,5.891137954885075e-07
GPC_14,1.251979598893005e-06,3.48689986411466e-07
STLP,1.0138885520039054e-06,4.263095266337187e-07
X10_CLDD,1.0037114568262062e-06,1.6778641205551158e-07
GXE__GPC_4__x__X08_PRCP,8.739773026955611e-07,4.451604389230299e-07
GPC_17,6.437569484485373e-07,7.674442380222179e-07
GPC_24,6.224538425469994e-07,3.0427728055773107e-07
MST,4.64448459291944e-07,2.1771937914745702e-07
GPC_2,4.22143591305435e-07,1.9611481562076622e-07
GXE__GPC_7__x__X08_PRCP,4.0787886722570833e-07,2.1301495363708278e-07
GXE__GPC_5__x__X08_PRCP,3.3110604056307837e-07,8.768974630225093e-08
GPC_25,2.133708631224529e-07,2.571814422518958e-08
GPC_10,1.9307797713974395e-07,3.688518448244138e-08
GPC_26,1.4004315088689267e-07,3.01724972609056e-08
GPC_29,1.214602159849143e-07,6.03520459649024e-08
GPC_1,1.1704148120683655e-07,3.752278129741459e-08
Unnamed: 0,1.0229921673099441e-07,4.736971517728722e-08
X05_PRCP,9.335770313478875e-08,2.308519238002642e-08
X08_PRCP,4.768793806508853e-08,9.021204395704222e-09
X09_CLDD,4.6419726706936616e-08,1.076736992761584e-08
X08_DP10,4.289792937539616e-08,9.686350508644227e-09
X09_HTDD,3.795171338305536e-08,3.3261911644630896e-08
X05_DP01,2.839315319524971e-08,4.877514598578304e-09
soc_5_15cm,1.7586991429840992e-08,7.252639331175142e-09
GPC_9,1.1808720234984804e-08,8.000302049739759e-09
nitrogen_15_30cm,5.630177080107046e-09,1.0142253445669792e-09
clay_15_30cm,5.188377549814049e-09,1.1312984552902813e-09
X04_TAVG,3.919631075266494e-09,3.7515543658531965e-09
X07_CLDD,0.0,0.0
nitrogen_0_5cm,0.0,0.0
phh2o_100_200cm,0.0,0.0
X06_DP01,0.0,0.0
projectID,0.0,0.0
